36,19,3,17,0,1,Bronx
40,23,2,16,0,1,Bronx
38,14,2,12,0,0,Bronx
31,9,2,9,0,1,Bronx
35,13,2,18,0,0,Bronx
25,50,3,35,0,1,Bronx
39,24,3,19,0,1,Bronx
45,26,2,31,0,1,Bronx
35,50,3,31,0,0,Bronx
40,28,2,35,0,0,Bronx
33,15,2,11,0,0,Bronx
41,22,2,22,0,0,Bronx
44,36,5,41,0,0,Bronx
41,34,2,13,0,0,Bronx
42,20,2,21,0,0,Bronx
42,27,2,18,0,1,Bronx
38,23,2,14,0,0,Bronx
40,41,2,22,0,0,Bronx
39,27,2,20,0,0,Bronx
47,38,3,27,0,0,Bronx
37,21,2,42,0,3,Bronx
35,28,3,28,0,1,Bronx
37,18,2,14,0,0,Bronx
31,40,2,25,0,1,Bronx
31,28,2,27,0,0,Bronx
42,35,5,38,0,3,Bronx
39,24,2,14,0,0,Bronx
32,8,2,13,0,1,Bronx
40,22,2,29,0,0,Bronx
39,33,2,30,0,0,Bronx
42,41,1,25,0,0,Bronx
41,23,2,29,0,0,Bronx
37,19,2,13,0,0,Bronx
47,33,2,20,0,0,Bronx
41,19,3,29,0,0,Bronx
42,18,2,24,0,0,Bronx
33,24,2,23,0,0,Bronx
42,20,2,20,0,0,Bronx
34,23,2,19,0,0,Bronx
26,11,2,11,0,0,Bronx
43,24,2,14,0,0,Bronx
34,20,2,36,0,1,Bronx
43,18,1,11,0,0,Bronx
43,23,2,40,0,0,Bronx
47,30,3,42,0,1,Bronx
64,51,3,25,0,0,Bronx
42,19,2,27,0,0,Bronx
44,17,2,9,0,0,Bronx
44,19,1,17,0,1,Bronx
40,22,1,13,0,3,Bronx
39,18,1,15,0,1,Bronx
35,33,2,25,0,6,Bronx
36,36,5,32,0,1,Bronx
34,24,1,17,0,0,Bronx
36,31,2,11,0,0,Bronx
29,30,2,27,0,0,Bronx
27,42,3,29,0,0,Bronx
29,20,2,19,0,0,Bronx
19,30,2,19,0,0,Bronx
22,34,2,19,0,0,Bronx
40,23,2,21,0,0,Bronx
31,12,1,5,0,0,Bronx
37,15,2,30,0,0,Bronx
46,27,3,32,0,0,Bronx
44,38,3,23,0,0,Bronx
77,44,3,39,0,0,Bronx
34,48,3,25,0,0,Bronx
51,42,3,26,0,0,Bronx
35,17,2,10,0,0,Bronx
32,20,2,32,0,0,Bronx
108,35,2,25,0,1,Bronx
50,50,2,16,0,0,Bronx
27,49,3,29,0,0,Bronx
48,25,3,16,0,0,Bronx
37,13,2,5,0,0,Bronx
37,14,1,11,0,0,Bronx
38,23,3,17,0,3,Bronx
37,24,2,19,0,3,Bronx
31,20,1,16,0,0,Bronx
20,25,2,15,0,0,Bronx
38,30,2,24,0,0,Bronx
47,52,3,27,0,0,Bronx
43,36,3,23,0,0,Bronx
80,30,2,24,0,0,Bronx
51,53,2,29,0,0,Bronx
44,41,2,18,0,0,Bronx
80,33,2,19,0,0,Bronx
54,38,2,27,0,1,Bronx
44,51,3,30,0,1,Bronx
67,51,5,22,0,1,Bronx
35,36,3,15,0,0,Bronx
35,25,2,16,0,0,Bronx
45,32,3,25,0,0,Bronx
38,43,2,31,0,0,Bronx
43,59,3,13,0,0,Bronx
39,75,2,10,0,1,Bronx
47,62,3,36,0,0,Bronx
71,55,6,38,0,1,Bronx
34,43,3,16,0,0,Bronx
33,49,2,20,0,0,Bronx
36,41,2,22,0,1,Bronx
19,23,2,8,0,0,Bronx
