Date,CO AQI Value,NO2 AQI Value,Ozone AQI Value,SO2 AQI Value,Target
4/11/2020,2,0,40,0,New York
4/12/2020,5,0,42,0,New York
4/13/2020,2,0,40,0,New York
4/14/2020,2,0,40,0,New York
4/15/2020,2,0,40,0,New York
4/16/2020,2,0,37,0,New York
4/17/2020,3,0,38,0,New York
4/18/2020,5,0,33,0,New York
4/19/2020,5,0,46,0,New York
4/20/2020,3,0,37,0,New York
4/21/2020,3,0,35,0,New York
4/22/2020,2,0,36,0,New York
4/23/2020,3,0,30,0,New York
4/24/2020,3,0,27,0,New York
4/25/2020,3,0,41,0,New York
4/26/2020,2,0,36,0,New York
4/27/2020,2,0,32,0,New York
4/28/2020,3,0,37,0,New York
4/29/2020,5,0,35,0,New York
4/30/2020,2,0,40,0,New York
5/1/2020,2,0,40,0,New York
5/2/2020,2,0,37,0,New York
5/3/2020,3,0,46,0,New York
5/4/2020,3,0,40,0,New York
5/5/2020,2,0,42,0,New York
5/6/2020,2,0,30,0,New York
5/7/2020,3,0,41,0,New York
5/8/2020,3,0,32,0,New York
5/9/2020,2,0,27,0,New York
5/10/2020,2,0,42,0,New York
5/11/2020,2,0,31,0,New York
5/12/2020,2,0,41,0,New York
5/13/2020,2,0,44,0,New York
5/14/2020,5,0,58,0,New York
5/15/2020,3,0,41,0,New York
5/16/2020,2,0,43,0,New York
5/17/2020,2,0,43,0,New York
5/18/2020,2,0,39,0,New York
5/19/2020,2,0,39,0,New York
5/20/2020,2,0,33,0,New York
5/21/2020,2,0,34,0,New York
5/22/2020,3,0,33,0,New York
5/23/2020,2,0,36,0,New York
5/24/2020,2,0,30,0,New York
5/25/2020,3,0,25,0,New York
5/26/2020,5,0,26,0,New York
5/27/2020,3,0,19,0,New York
5/28/2020,2,0,23,0,New York
5/29/2020,3,0,40,0,New York
5/30/2020,2,0,30,0,New York
5/31/2020,2,0,36,0,New York
6/1/2020,2,0,44,0,New York
6/2/2020,3,0,43,0,New York
6/3/2020,2,0,67,0,New York
6/4/2020,3,0,35,0,New York
6/5/2020,3,0,48,0,New York
6/6/2020,3,0,33,0,New York
6/7/2020,1,0,32,0,New York
6/8/2020,2,0,97,0,New York
6/9/2020,2,0,44,0,New York
6/10/2020,2,0,27,0,New York
6/11/2020,3,0,48,0,New York
6/12/2020,2,0,38,0,New York
6/13/2020,2,0,38,0,New York
6/14/2020,2,0,37,0,New York
6/15/2020,2,0,39,0,New York
6/16/2020,2,0,31,0,New York
6/17/2020,2,0,38,0,New York
6/18/2020,2,0,48,0,New York
6/19/2020,2,0,40,0,New York
6/20/2020,3,0,74,0,New York
6/21/2020,3,0,51,0,New York
6/22/2020,2,0,43,0,New York
6/23/2020,2,0,80,0,New York
6/24/2020,2,0,54,0,New York
